,name,addr,lat,lng
4235,善文,台南市善化區中山路518號,23.132698270615688,120.28833296502972
4236,新新善,台南市新市區復興路59號61號63號一樓,23.081228245628722,120.29542164931622
4237,育德,台南市北區民德路87號,23.00555848874727,120.20261079488151
4238,安南,台南市安南區安和路四段520號,23.061366000000007,120.2187083617923
4239,南德,台南市南區中華南路二段101之1號,22.961708969732918,120.19288621510184
4240,南科大,台南市永康區中正路529號,23.039705171764346,120.23902199454697
4241,文五,台南市安平區國平里文平路217號,22.987667242022038,120.17797103176767
4242,淵中,台南市安南區安中路三段435號437號,23.050143053003683,120.17373885247284
4243,善成,台南市善化區中正路386號,23.129288863725545,120.29401090564939
4244,華園,台南市北區北門里公園南路71號,23.000449600323233,120.21097951595597
4245,後營,台南市西港區營西里1號,23.14142000000004,120.21156000000008
