name,addr,lat,lng
時尚,台南市永康區鹽洲里仁愛街19號21號1樓,23.04230507,120.2380087
富裕,台南市東區後甲里裕農路657號1樓,22.98866099,120.2354761
南台,台南市永康區南台街1號1樓,23.02212709,120.2237449
素心,台南市仁德區中山路258號260號,22.97067133,120.2602229
新六廠,台南市善化區南科北路1號1樓,23.11253158,120.2758123
P1廠,台南市善化區南科北路1之1號1樓,23.11253158,120.2758123
綜合,台南市中西區水仙里民生路二段26號28號1樓,22.99484939,120.1983893
南茂,台南市新市區南科七路5號2樓,23.11039421,120.2757114
聯電,台南市新市區南科三路57號,23.09767155,120.2755313
九份子,台南市安南區國安里九份子大道6號1樓,23.02773553,120.2227842
趣淘,台南市楠西區密枝里密枝102之5號1樓,23.22214006,120.4988662
新天地,台南市柳營區太康里22鄰201-10號,23.28787378,120.3335931
興灣,台南市永康區南灣里大灣東路63號1樓,22.9988118,120.2612123
康西,台南市永康區永大路二段440號,23.0097314,120.2628269
伍鈺,台南市永康區永華路406號408號,23.01287202,120.2590473
安期,台南市安平區慶平路60號62號,22.99696838,120.1829134
好巧,台南市永康區安康里中華西街152號,23.01604556,120.2257397
文南,台南市南區健康路二段270號,22.98174135,120.1900016
建華,台南市南區文華里中華西路一段438號,22.98535748,120.1865796
大灣,台南市永康區大灣路951號,22.99901389,120.2529529
明珠,台南市中西區公正里民族路二段53號,22.99442849,120.210299
府醫,台南市中西區赤崁里中山路125號,22.99544568,120.2094644
聯晶,台南市新市區豐華里南科二路18號7樓,23.09518415,120.2788649
帝標,台南市東區龍山街109號111號,22.98385421,120.2232896
文賢,台南市北區文賢路1116號,23.01622377,120.1935299
安學,台南市安南區南興里12鄰公學路五段685號一樓,23.07501133,120.1596376
東發,台南市東區中華東路三段379號,22.97364992,120.2213462
佳成,台南市佳里區興化里佳里興492-50號,23.18860018,120.1875868
丹比,台南市北區六甲里西門路四段332號,23.01337421,120.2094312
代天府,台南市北門區鯤江里976號,23.28987,120.14876
大瑩,台南市仁德區二行里中正西路347號1樓,22.91781569,120.2179886
康橋,台南市永康區中山南路12-5號,23.01171115,120.2267982
群創B,台南市善化區南關里南科八路12號B1樓,23.11464923,120.2752821
安同,台南市安南區同安路235號,23.04243064,120.1921351
南應大,台南市永康區鹽行里中正七街27.29號1、2樓,23.04017396,120.2402015
海裕,台南市北區雙安里海安路三段219巷5號1樓,23.00661975,120.1989983
仁發,台南市永康區東橋里東橋六街61號,23.01979749,120.2347691
文成,台南市北區文元里文成路775號,23.01212837,120.1947407
成大,台南市北區勝利路138號B1樓,23.0022916,120.2190981
三舍,台南市新市區三舍里三舍55號,23.08958417,120.2955897
康健,台南市北區北門路三段49號,23.0143991,120.2173313
真新,台南市麻豆區油車里油車24之1號,23.18929744,120.2448199
東楨,台南市白河區永安里新興路507號一樓,23.35269659,120.4177572
永成,台南市南區佛壇里明興路1322號1樓,22.92238063,120.1846556
新安發,台南市安定區安加里安定407號,23.11744879,120.2357823
辰佳,台南市永康區永大路二段11號,23.0013452,120.2596137
南化,台南市南化區南化里128號1樓,23.04105,120.4861
真潭,台南市歸仁區大潭里中正南路三段22號,22.91603985,120.2720762
立青,台南市歸仁區南保里民權南路一段108號1樓,22.96717996,120.2879087
佳立,台南市佳里區佳東路361號,23.16180985,120.1826603
席悅,台南市東區東光里東興路41號1樓,22.99095228,120.2286493
善良,台南市善化區中正路385號1樓,23.1277225,120.2940111
